email;name;group 1;group 2
hello1@world.com;Hello 1;Hello group;Odd group
hello2@world.com;Hello 2;Hello group;Even group
hello3@world.com;Hello 3;Hello group;Odd group
hello4@world.com;Hello 4;Hello group;Even group
hello5@world.com;Hello 5;Hello group;Odd group
hello6@world.com;Hello 6;Hello group;Even group
hello7@world.com;Hello 7;Hello group;Odd group
hello8@world.com;Hello 8;Hello group;Even group
hello9@world.com;Hello 9;Hello group;Odd group
hello10@world.com;Hello 10;Hello group;Even group
hello11@world.com;Hello 11;Hello group;Odd group
hello12@world.com;Hello 12;Hello group;Even group
hello13@world.com;Hello 13;Hello group;Odd group
hello14@world.com;Hello 14;Hello group;Even group
hello15@world.com;Hello 15;Hello group;Odd group
hello16@world.com;Hello 16;Hello group;Even group
hello17@world.com;Hello 17;Hello group;Odd group
hello18@world.com;Hello 18;Hello group;Even group
hello19@world.com;Hello 19;Hello group;Odd group
hello20@world.com;Hello 20;Hello group;Even group
hello21@world.com;Hello 21;Hello group;Odd group
hello22@world.com;Hello 22;Hello group;Even group
hello23@world.com;Hello 23;Hello group;Odd group
hello24@world.com;Hello 24;Hello group;Even group
hello25@world.com;Hello 25;Hello group;Odd group
hello26@world.com;Hello 26;Hello group;Even group
hello27@world.com;Hello 27;Hello group;Odd group
hello28@world.com;Hello 28;Hello group;Even group
hello29@world.com;Hello 29;Hello group;Odd group
hello30@world.com;Hello 30;Hello group;Even group
